acq_date,latitude,longitude,brightness,scan,track,confidence,bright_t31,frp,type,month,weekofyear,season
2019-01-01,21.318849999999998,80.43385,314.6,1.2,1.1,60.0,300.15,9.6,0.0,1,1,Winter
2019-01-02,20.9611,77.3629,313.4,1.1,1.0,61.0,299.5,10.3,0.0,1,1,Winter
2019-01-03,21.6996,82.3507,312.7,1.1,1.0,62.0,300.3,7.7,0.0,1,1,Winter
2019-01-04,19.92915,77.15375,314.0,1.2,1.1,59.0,299.45,9.649999999999999,0.0,1,1,Winter
2019-01-05,21.2713,82.3539,314.4,1.1,1.1,64.0,301.95,9.5,0.0,1,1,Winter
2019-01-06,20.9378,78.5275,314.7,1.1,1.0,61.0,299.9,9.3,0.0,1,1,Winter
2019-01-07,21.6354,82.3101,313.0,1.5,1.2,63.0,299.3,13.4,0.0,1,2,Winter
2019-01-08,21.8609,81.52865,314.79999999999995,1.1,1.1,62.0,298.9,10.8,0.0,1,2,Winter
2019-01-09,22.00745,80.7348,312.4,1.3,1.1,62.0,298.15,12.2,0.0,1,2,Winter
2019-01-10,21.85765,81.8517,313.55,1.1,1.1,62.5,299.0,9.0,0.0,1,2,Winter
2019-01-11,21.736,79.2909,313.1,1.1,1.1,58.0,296.9,8.5,0.0,1,2,Winter
2019-01-12,21.7272,82.4522,315.5,1.0,1.0,62.0,301.9,8.7,0.0,1,2,Winter
2019-01-13,21.232,78.9183,313.5,1.1,1.1,58.0,298.1,9.4,0.0,1,2,Winter
2019-01-14,21.868,82.4761,315.2,1.3,1.1,62.0,301.5,10.0,0.0,1,3,Winter
2019-01-15,21.1932,78.3743,316.2,1.2,1.1,62.0,301.4,10.2,0.0,1,3,Winter
2019-01-16,22.3469,82.3007,314.7,1.4,1.2,63.0,297.8,14.3,0.0,1,3,Winter
2019-01-17,21.192999999999998,79.0184,316.95,1.1,1.1,63.0,302.65,9.8,0.0,1,3,Winter
2019-01-18,21.7754,78.6364,313.8,1.2,1.1,60.0,300.6,12.4,0.0,1,3,Winter
2019-01-19,21.6745,79.0861,316.2,1.1,1.0,61.0,300.8,9.6,0.0,1,3,Winter
2019-01-20,19.8744,77.6381,316.15,1.1,1.0,60.0,302.35,9.2,0.0,1,3,Winter
2019-01-21,21.804499999999997,81.90065,316.05,1.2,1.1,63.0,302.65,10.850000000000001,0.0,1,4,Winter
2019-01-22,19.33265,78.1323,317.75,1.1,1.1,61.0,302.8,10.4,0.0,1,4,Winter
2019-01-23,22.005,83.0061,314.9,1.5,1.2,64.0,299.4,14.3,0.0,1,4,Winter
2019-01-24,20.8783,79.2527,316.6,1.1,1.1,64.0,301.2,11.2,0.0,1,4,Winter
2019-01-25,21.5456,76.115,316.0,1.2,1.1,61.0,301.8,11.6,0.0,1,4,Winter
2019-01-26,20.2405,80.3557,318.4,1.1,1.1,64.0,304.8,10.4,0.0,1,4,Winter
2019-01-27,19.5558,77.4929,315.4,1.1,1.0,60.0,300.8,8.7,0.0,1,4,Winter
2019-01-28,21.6491,82.2567,317.9,1.0,1.0,63.0,304.4,8.8,0.0,1,5,Winter
2019-01-29,19.5774,77.7241,317.2,1.1,1.0,59.0,303.2,10.6,0.0,1,5,Winter
2019-01-30,21.741950000000003,82.7124,316.29999999999995,1.3,1.1,62.0,303.35,12.100000000000001,0.0,1,5,Winter
2019-01-31,18.6659,78.68545,322.8,1.2,1.1,63.5,308.4,12.55,0.0,1,5,Winter
2019-02-01,21.7886,79.3993,316.1,1.6,1.2,60.0,303.0,14.0,0.0,2,5,Winter
2019-02-02,18.9434,78.83975000000001,322.85,1.1,1.0,64.0,308.6,11.7,0.0,2,5,Winter
2019-02-03,19.3838,77.224,317.5,1.2,1.1,60.0,303.29999999999995,12.5,0.0,2,5,Winter
2019-02-04,21.4572,79.9321,320.0,1.1,1.0,65.0,304.7,10.7,0.0,2,6,Winter
2019-02-05,17.66525,77.2869,319.9,1.1,1.1,63.5,303.5,11.25,0.0,2,6,Winter
2019-02-06,20.96295,83.48124999999999,315.85,1.1,1.1,61.0,300.45,11.05,0.0,2,6,Winter
2019-02-07,25.347949999999997,80.65020000000001,309.35,1.2,1.1,60.5,291.95,11.0,0.0,2,6,Winter
2019-02-08,21.992150000000002,80.50035,316.29999999999995,1.5,1.2,62.0,299.8,14.05,0.0,2,6,Winter
2019-02-09,25.6237,79.5315,314.75,1.3,1.1,61.0,295.7,12.0,0.0,2,6,Winter
2019-02-10,28.2964,77.99404999999999,308.1,1.2,1.1,60.0,292.75,9.0,0.0,2,6,Winter
2019-02-11,19.1575,78.5522,311.0,1.1,1.0,63.0,290.2,10.9,0.0,2,7,Winter
2019-02-12,25.385,92.2438,317.0,1.1,1.0,67.0,299.3,10.4,0.0,2,7,Winter
2019-02-13,25.2033,86.4434,310.4,1.2,1.1,63.0,291.2,11.2,0.0,2,7,Winter
2019-02-14,19.5853,78.77170000000001,319.3,1.1,1.0,66.5,300.79999999999995,11.75,0.0,2,7,Winter
2019-02-15,22.4377,83.6902,316.3,1.4,1.2,64.0,297.3,13.0,0.0,2,7,Winter
2019-02-16,19.0726,80.1588,322.8,1.1,1.1,66.0,304.5,13.0,0.0,2,7,Winter
2019-02-17,22.1188,83.2251,317.5,1.7,1.3,60.0,299.3,15.4,0.0,2,7,Winter
2019-02-18,20.117150000000002,80.1152,323.55,1.2,1.1,64.0,307.15,12.850000000000001,0.0,2,8,Winter
2019-02-19,25.0594,92.2616,318.2,1.1,1.0,65.0,298.1,13.2,0.0,2,8,Winter
2019-02-20,20.963250000000002,80.08765,321.2,1.1,1.0,64.0,304.45,10.350000000000001,0.0,2,8,Winter
2019-02-21,22.20065,79.84909999999999,321.25,1.1,1.0,64.0,301.1,12.25,0.0,2,8,Winter
2019-02-22,21.4745,82.5475,322.9,1.2,1.1,64.0,307.5,11.9,0.0,2,8,Winter
2019-02-23,17.878,78.72954999999999,324.4,1.1,1.1,64.0,307.7,12.75,0.0,2,8,Winter
2019-02-24,20.9724,82.7005,320.9,1.6,1.3,66.0,302.3,17.0,0.0,2,8,Winter
2019-02-25,17.863500000000002,79.09735,327.05,1.2,1.1,65.0,310.65,14.25,0.0,2,9,Winter
2019-02-26,17.9768,75.5631,323.1,1.5,1.2,61.0,307.6,16.2,0.0,2,9,Winter
2019-02-27,18.3585,80.024,326.6,1.1,1.0,64.0,311.6,12.5,0.0,2,9,Winter
2019-02-28,17.55845,76.64359999999999,326.6,1.2,1.1,66.0,309.85,15.3,0.0,2,9,Winter
2019-03-01,19.343449999999997,81.65245,326.2,1.1,1.1,65.0,310.3,13.25,0.0,3,9,Winter
2019-03-02,18.19285,78.91380000000001,326.3,1.1,1.1,65.0,309.4,14.25,0.0,3,9,Winter
2019-03-03,21.4342,83.1882,324.0,1.2,1.1,66.0,308.4,14.4,0.0,3,9,Winter
2019-03-04,18.2512,79.8778,326.3,1.1,1.1,64.0,309.2,13.5,0.0,3,10,Winter
2019-03-05,23.86045,92.527,321.4,1.5,1.2,68.0,299.1,20.950000000000003,0.0,3,10,Winter
2019-03-06,18.9406,80.3998,326.8,1.1,1.0,65.0,309.0,14.2,0.0,3,10,Winter
2019-03-07,24.2246,92.54429999999999,323.85,1.1,1.0,71.0,301.1,18.55,0.0,3,10,Winter
2019-03-08,20.5059,81.593,324.1,1.1,1.1,65.0,305.8,13.0,0.0,3,10,Winter
2019-03-09,24.22835,92.92615,326.6,1.1,1.0,74.0,300.8,18.55,0.0,3,10,Winter
2019-03-10,21.958,84.89845,325.4,1.1,1.0,63.0,309.0,13.0,0.0,3,10,Winter
2019-03-11,19.75795,79.64885000000001,324.2,1.1,1.0,65.0,304.9,12.9,0.0,3,11,Winter
2019-03-12,23.9687,90.8545,322.8,1.5,1.2,68.0,300.7,21.8,0.0,3,11,Winter
